[I 2026-05-30 00:39:59,902] A new study created in RDB with name: skb8_v81
Train pool: 22 opps
Heldout pool: 8 opps
Params: 14
Trials: 150, seeds: 20, n_tables: 15

Enqueued anchor trial: 14/14 params
Resuming from 1 existing trials. Target: 150
[I 2026-05-30 00:55:29,330] Trial 21 finished with value: 1244.3143447596078 and parameters: {'equity_call_threshold': 0.44483250779069095, 'pot_odds_buffer_normal': 0.09068622062765729, 'equity_thin_value': 0.4566027280729832, 'bluff_freq_ip': 0.03220070966080245, 'bluff_freq_oop': 0.03730765512940291, 'cbet_freq_base': 0.6795042690747973, 'threebet_call_threshold_pct': 0.1539241972898573, 'fourbet_call_threshold_pct': 0.1066030971237438, 'fourbet_bluff_freq': 0.0979881407697871, 'k_commit': 0.001048703794944755, 'river_v2b_half_pot': 2.921628033536181, 'skb8_bet_to_mean_multiplier': 1.8920774819380437, 'skb8_min_obs_for_signal': 29, 'skb8_min_bets_obs_for_signal': 4}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:56:10,811] Trial 22 finished with value: 1245.7693508488733 and parameters: {'equity_call_threshold': 0.4517016173759364, 'pot_odds_buffer_normal': 0.08133448941611271, 'equity_thin_value': 0.4358093134475388, 'bluff_freq_ip': 0.029182196968788557, 'bluff_freq_oop': 0.03534090863706966, 'cbet_freq_base': 0.698182558607603, 'threebet_call_threshold_pct': 0.15832038699470355, 'fourbet_call_threshold_pct': 0.09703765643735053, 'fourbet_bluff_freq': 0.05048257616324396, 'k_commit': 0.002104399064325865, 'river_v2b_half_pot': 2.8175947389131832, 'skb8_bet_to_mean_multiplier': 1.9984812231340034, 'skb8_min_obs_for_signal': 29, 'skb8_min_bets_obs_for_signal': 5}. Best is trial 11 with value: 1262.0395163213634.
[I 2026-05-30 00:56:52,066] Trial 23 finished with value: 1280.419550614466 and parameters: {'equity_call_threshold': 0.42950287848733093, 'pot_odds_buffer_normal': 0.08896406307843874, 'equity_thin_value': 0.45886188552075596, 'bluff_freq_ip': 0.015155810150332367, 'bluff_freq_oop': 0.03915093425783368, 'cbet_freq_base': 0.672908806840983, 'threebet_call_threshold_pct': 0.18508371735191745, 'fourbet_call_threshold_pct': 0.12469949085503361, 'fourbet_bluff_freq': 0.07795347291812885, 'k_commit': 0.0053424090843469645, 'river_v2b_half_pot': 2.385222200794842, 'skb8_bet_to_mean_multiplier': 1.883489023622466, 'skb8_min_obs_for_signal': 45, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 23 with value: 1280.419550614466.
[I 2026-05-30 00:57:33,781] Trial 24 finished with value: 1287.7652916320542 and parameters: {'equity_call_threshold': 0.4285672131230657, 'pot_odds_buffer_normal': 0.09207591327486185, 'equity_thin_value': 0.4484103083692418, 'bluff_freq_ip': 0.013365993725005737, 'bluff_freq_oop': 0.04131599559176704, 'cbet_freq_base': 0.6551646155098322, 'threebet_call_threshold_pct': 0.187412071245235, 'fourbet_call_threshold_pct': 0.13968452067147955, 'fourbet_bluff_freq': 0.08184378336806736, 'k_commit': 0.005812358366649676, 'river_v2b_half_pot': 2.4013476354752727, 'skb8_bet_to_mean_multiplier': 1.7639270251725894, 'skb8_min_obs_for_signal': 44, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 24 with value: 1287.7652916320542.
[I 2026-05-30 00:58:15,547] Trial 25 finished with value: 1260.939389131798 and parameters: {'equity_call_threshold': 0.4096227799835368, 'pot_odds_buffer_normal': 0.10840934228804391, 'equity_thin_value': 0.48882301346066315, 'bluff_freq_ip': 0.015637826053215557, 'bluff_freq_oop': 0.04867109016926116, 'cbet_freq_base': 0.6549076803343169, 'threebet_call_threshold_pct': 0.19327167567899822, 'fourbet_call_threshold_pct': 0.13959432118319032, 'fourbet_bluff_freq': 0.07337678455012453, 'k_commit': 0.0075483778609911735, 'river_v2b_half_pot': 2.4133745669247544, 'skb8_bet_to_mean_multiplier': 1.77571580653362, 'skb8_min_obs_for_signal': 46, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 24 with value: 1287.7652916320542.
[I 2026-05-30 00:58:56,636] Trial 26 finished with value: 1244.6691000177589 and parameters: {'equity_call_threshold': 0.41295960728372405, 'pot_odds_buffer_normal': 0.09513020849351954, 'equity_thin_value': 0.4146530493589746, 'bluff_freq_ip': 0.013463464610950078, 'bluff_freq_oop': 0.0411775207981393, 'cbet_freq_base': 0.630988939594064, 'threebet_call_threshold_pct': 0.2019978549541865, 'fourbet_call_threshold_pct': 0.12392805116775871, 'fourbet_bluff_freq': 0.1064114133296712, 'k_commit': 0.005310188966983959, 'river_v2b_half_pot': 2.071981286451588, 'skb8_bet_to_mean_multiplier': 1.9231012752215624, 'skb8_min_obs_for_signal': 47, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 24 with value: 1287.7652916320542.
[I 2026-05-30 00:59:37,571] Trial 27 finished with value: 1219.3162180411305 and parameters: {'equity_call_threshold': 0.39075995116744827, 'pot_odds_buffer_normal': 0.10455047595660291, 'equity_thin_value': 0.45386122206872864, 'bluff_freq_ip': 0.021663519689293507, 'bluff_freq_oop': 0.04644254433660687, 'cbet_freq_base': 0.6719760782383577, 'threebet_call_threshold_pct': 0.17048007521821337, 'fourbet_call_threshold_pct': 0.13986957675782674, 'fourbet_bluff_freq': 0.07576958885540516, 'k_commit': 0.01144853132571961, 'river_v2b_half_pot': 2.3203617811621458, 'skb8_bet_to_mean_multiplier': 1.8574213471820407, 'skb8_min_obs_for_signal': 44, 'skb8_min_bets_obs_for_signal': 4}. Best is trial 24 with value: 1287.7652916320542.
[I 2026-05-30 01:00:18,737] Trial 28 finished with value: 1293.3518303755377 and parameters: {'equity_call_threshold': 0.4327621665392989, 'pot_odds_buffer_normal': 0.09163819994341964, 'equity_thin_value': 0.47291166625650394, 'bluff_freq_ip': 0.01433016851731187, 'bluff_freq_oop': 0.04187558936763843, 'cbet_freq_base': 0.648646180532529, 'threebet_call_threshold_pct': 0.18812619218238621, 'fourbet_call_threshold_pct': 0.12406624071213526, 'fourbet_bluff_freq': 0.10809601345772646, 'k_commit': 0.00763693356112541, 'river_v2b_half_pot': 2.68664022244518, 'skb8_bet_to_mean_multiplier': 1.7614798570645014, 'skb8_min_obs_for_signal': 37, 'skb8_min_bets_obs_for_signal': 3}. Best is trial 28 with value: 1293.3518303755377.
[I 2026-05-30 01:00:59,539] Trial 29 finished with value: 1230.2562550020443 and parameters: {'equity_call_threshold': 0.4310163155113536, 'pot_odds_buffer_normal': 0.12439051497637274, 'equity_thin_value': 0.4761921244587444, 'bluff_freq_ip': 0.014541022247125689, 'bluff_freq_oop': 0.04062951408981914, 'cbet_freq_base': 0.643716204941587, 'threebet_call_threshold_pct': 0.21969352144269844, 'fourbet_call_threshold_pct': 0.13349365571043834, 'fourbet_bluff_freq': 0.14298238838071914, 'k_commit': 0.005220218923982539, 'river_v2b_half_pot': 2.667794903809392, 'skb8_bet_to_mean_multiplier': 1.9480135907779617, 'skb8_min_obs_for_signal': 37, 'skb8_min_bets_obs_for_signal': 4}. Best is trial 28 with value: 1293.3518303755377.
[I 2026-05-30 01:01:40,167] Trial 30 finished with value: 1257.7983194403 and parameters: {'equity_call_threshold': 0.3984654173843183, 'pot_odds_buffer_normal': 0.10594255629557546, 'equity_thin_value': 0.46864618291482196, 'bluff_freq_ip': 0.059381622254931224, 'bluff_freq_oop': 0.04351597427283183, 'cbet_freq_base': 0.6187369081635278, 'threebet_call_threshold_pct': 0.1979970660160549, 'fourbet_call_threshold_pct': 0.12741408888262956, 'fourbet_bluff_freq': 0.1107116482849386, 'k_commit': 0.007851032237752777, 'river_v2b_half_pot': 2.1085778351499886, 'skb8_bet_to_mean_multiplier': 1.8318176189344741, 'skb8_min_obs_for_signal': 44, 'skb8_min_bets_obs_for_signal': 5}. Best is trial 28 with value: 1293.3518303755377.
